id,series,frame,file,caption
1,1,1,series-01/0001-голос-рассказчика.png,голос рассказчика
2,1,2,series-01/0002-жест-памяти.png,жест памяти
3,1,3,series-01/0003-тетрадь.png,тетрадь
4,1,4,series-01/0004-окно-к-Дону.png,окно к Дону
5,1,5,series-01/0005-камыши.png,камыши
6,1,6,series-01/0006-станица.png,станица
7,1,7,series-01/0007-корни.png,корни
8,1,8,series-01/0008-камень.png,камень
9,1,9,series-01/0009-курень.png,курень
10,1,10,series-01/0010-общий-стол.png,общий стол
11,1,11,series-01/0011-семейная-песня.png,семейная песня
12,1,12,series-01/0012-наличник.png,наличник
13,1,13,series-01/0013-передача-предмета.png,передача предмета
14,1,14,series-01/0014-упряжь.png,упряжь
15,1,15,series-01/0015-забота.png,забота
16,1,16,series-01/0016-круг-обучения.png,круг обучения
17,1,17,series-01/0017-остановка.png,остановка
18,1,18,series-01/0018-зерно-дерева.png,зерно дерева
19,1,19,series-01/0019-резец.png,резец
20,1,20,series-01/0020-пигменты.png,пигменты
21,1,21,series-01/0021-кисть-и-вода.png,кисть и вода
22,1,22,series-01/0022-трещина-стены.png,трещина стены
23,1,23,series-01/0023-свет-росписи.png,свет росписи
24,1,24,series-01/0024-старый-слой.png,старый слой
25,1,25,series-01/0025-общая-работа.png,общая работа
26,1,26,series-01/0026-запись-мастера.png,запись мастера
27,1,27,series-01/0027-дверь-храма.png,дверь храма
28,1,28,series-01/0028-развилка.png,развилка
29,1,29,series-01/0029-возвращение.png,возвращение
30,1,30,series-01/0030-следующий-штрих.png,следующий штрих
31,1,31,series-01/0031-голос-рассказчика.png,голос рассказчика
32,1,32,series-01/0032-жест-памяти.png,жест памяти
33,1,33,series-01/0033-тетрадь.png,тетрадь
34,1,34,series-01/0034-окно-к-Дону.png,окно к Дону
35,1,35,series-01/0035-камыши.png,камыши
36,1,36,series-01/0036-станица.png,станица
37,1,37,series-01/0037-корни.png,корни
38,1,38,series-01/0038-камень.png,камень
39,1,39,series-01/0039-курень.png,курень
40,1,40,series-01/0040-общий-стол.png,общий стол
41,1,41,series-01/0041-семейная-песня.png,семейная песня
42,1,42,series-01/0042-наличник.png,наличник
43,1,43,series-01/0043-передача-предмета.png,передача предмета
44,1,44,series-01/0044-упряжь.png,упряжь
45,1,45,series-01/0045-забота.png,забота
46,1,46,series-01/0046-круг-обучения.png,круг обучения
47,1,47,series-01/0047-остановка.png,остановка
48,1,48,series-01/0048-зерно-дерева.png,зерно дерева
49,1,49,series-01/0049-резец.png,резец
50,1,50,series-01/0050-пигменты.png,пигменты
